index,Equity(1 [XLK]),Equity(2 [XLF]),Equity(3 [XLE]),Equity(4 [XLB]),Equity(5 [XLY]),Equity(6 [XLP]),cash
2010-08-02 00:00:00+00:00,1118.95,0.0,0.0,1643.45,1605.5,1364.5,4378.55
2010-08-03 00:00:00+00:00,1113.0,0.0,0.0,1613.5,1581.0,1352.45,4378.55
2010-08-04 00:00:00+00:00,1122.0,0.0,0.0,1628.5,1607.5,1357.5,4378.55
2010-08-05 00:00:00+00:00,1117.0,0.0,0.0,1631.95,1612.5,1351.5,4378.55
2010-08-06 00:00:00+00:00,1114.0,0.0,0.0,1624.5,1601.45,1354.5,4378.55
2010-08-09 00:00:00+00:00,1121.5,0.0,0.0,1634.45,1617.0,1361.5,4378.55
2010-08-10 00:00:00+00:00,1110.0,0.0,0.0,1617.0,1603.0,1364.5,4378.55
2010-08-11 00:00:00+00:00,1083.5,0.0,0.0,1562.5,1560.95,1342.0,4378.55
2010-08-12 00:00:00+00:00,1068.5,0.0,0.0,1572.5,1555.0,1340.45,4378.55
2010-08-13 00:00:00+00:00,1063.5,0.0,0.0,1564.95,1537.5,1339.95,4378.55
2010-08-16 00:00:00+00:00,1065.45,0.0,0.0,1572.0,1537.0,1338.5,4378.55
2010-08-17 00:00:00+00:00,1077.0,0.0,0.0,1609.0,1562.0,1351.5,4378.55
2010-08-18 00:00:00+00:00,1083.0,0.0,0.0,1614.95,1576.5,1352.45,4378.55
2010-08-19 00:00:00+00:00,1070.0,0.0,0.0,1577.95,1546.0,1336.5,4378.55
2010-08-20 00:00:00+00:00,1067.5,0.0,0.0,1574.5,1545.0,1336.5,4378.55
2010-08-23 00:00:00+00:00,1058.0,0.0,0.0,1556.95,1531.0,1339.5,4378.55
2010-08-24 00:00:00+00:00,1043.5,0.0,0.0,1521.0,1505.0,1333.0,4378.55
2010-08-25 00:00:00+00:00,1050.0,0.0,0.0,1525.5,1520.5,1335.95,4378.55
2010-08-26 00:00:00+00:00,1039.5,0.0,0.0,1523.45,1510.0,1326.0,4378.55
2010-08-27 00:00:00+00:00,1052.0,0.0,0.0,1568.95,1534.5,1334.5,4378.55
2010-08-30 00:00:00+00:00,1038.0,0.0,0.0,1545.5,1507.5,1322.95,4378.55
2010-08-31 00:00:00+00:00,1034.5,0.0,0.0,1552.0,1509.5,1324.0,4378.55
2010-10-01 00:00:00+00:00,1151.5,0.0,2840.5,1660.45,1672.5,1396.5,1132.15
2010-10-04 00:00:00+00:00,1142.0,0.0,2804.95,1634.0,1669.0,1392.5,1132.15
2010-10-05 00:00:00+00:00,1164.5,0.0,2870.95,1679.95,1704.0,1405.5,1132.15
2010-10-06 00:00:00+00:00,1159.0,0.0,2896.5,1695.95,1692.45,1411.5,1132.15
2010-10-07 00:00:00+00:00,1159.0,0.0,2881.95,1679.0,1700.45,1406.45,1132.15
2010-10-08 00:00:00+00:00,1165.45,0.0,2918.0,1712.0,1718.0,1409.5,1132.15
2010-10-11 00:00:00+00:00,1167.5,0.0,2926.0,1709.0,1718.45,1410.95,1132.15
2010-10-12 00:00:00+00:00,1174.5,0.0,2921.5,1713.5,1722.5,1414.5,1132.15
2010-10-13 00:00:00+00:00,1184.0,0.0,2956.95,1741.0,1725.0,1426.5,1132.15
2010-10-14 00:00:00+00:00,1184.5,0.0,2952.45,1724.5,1722.95,1427.0,1132.15
2010-10-15 00:00:00+00:00,1204.5,0.0,2960.45,1729.5,1735.45,1430.5,1132.15
2010-10-18 00:00:00+00:00,1212.5,0.0,2968.45,1737.0,1737.95,1435.45,1132.15
2010-10-19 00:00:00+00:00,1191.0,0.0,2909.45,1692.45,1706.5,1418.0,1132.15
2010-10-20 00:00:00+00:00,1201.0,0.0,2946.95,1727.45,1728.5,1430.5,1132.15
2010-10-21 00:00:00+00:00,1202.0,0.0,2945.5,1727.0,1738.5,1435.45,1132.15
2010-10-22 00:00:00+00:00,1205.5,0.0,2964.95,1714.5,1747.95,1440.45,1132.15
2010-10-25 00:00:00+00:00,1209.0,0.0,2972.95,1751.45,1759.0,1443.95,1132.15
2010-10-26 00:00:00+00:00,1212.0,0.0,2979.0,1741.0,1766.5,1435.95,1132.15
2010-10-27 00:00:00+00:00,1215.45,0.0,2966.5,1725.0,1755.5,1428.5,1132.15
2010-10-28 00:00:00+00:00,1215.45,0.0,2960.0,1726.0,1763.5,1433.5,1132.15
2010-10-29 00:00:00+00:00,1217.5,0.0,2962.0,1739.95,1762.95,1438.5,1132.15
2010-11-01 00:00:00+00:00,1218.5,0.0,2965.5,1738.95,1759.45,1432.5,1132.15
2010-11-02 00:00:00+00:00,1230.5,0.0,2997.95,1756.95,1779.5,1441.0,1132.15
2010-11-03 00:00:00+00:00,1237.5,0.0,3004.5,1752.0,1788.5,1445.5,1132.15
2010-11-04 00:00:00+00:00,1256.0,0.0,3100.0,1809.45,1816.5,1463.0,1132.15
2010-11-05 00:00:00+00:00,1255.0,0.0,3115.5,1816.0,1825.45,1455.5,1132.15
2010-11-08 00:00:00+00:00,1256.0,0.0,3125.0,1820.5,1822.5,1452.95,1132.15
2010-11-09 00:00:00+00:00,1252.45,0.0,3119.0,1788.5,1805.95,1445.5,1132.15
2010-11-10 00:00:00+00:00,1253.5,0.0,3159.0,1797.5,1821.95,1441.0,1132.15
2010-11-11 00:00:00+00:00,1234.5,0.0,3194.0,1816.0,1819.45,1442.5,1132.15
2010-11-12 00:00:00+00:00,1217.0,0.0,3146.95,1775.45,1800.45,1435.45,1132.15
2010-11-15 00:00:00+00:00,1213.5,0.0,3130.95,1761.5,1796.95,1435.95,1132.15
2010-11-16 00:00:00+00:00,1191.5,0.0,3072.5,1723.5,1772.5,1420.0,1132.15
2010-11-17 00:00:00+00:00,1192.0,0.0,3085.0,1722.95,1787.95,1420.5,1132.15
2010-11-18 00:00:00+00:00,1212.0,0.0,3153.0,1755.5,1803.5,1439.5,1132.15
2010-11-19 00:00:00+00:00,1215.45,0.0,3179.5,1769.45,1812.0,1440.45,1132.15
2010-11-22 00:00:00+00:00,1222.5,0.0,3169.45,1774.0,1820.5,1440.45,1132.15
2010-11-23 00:00:00+00:00,1204.5,0.0,3107.5,1739.95,1793.45,1423.45,1132.15
