,amount,commission,dt,order_id,price,sid,symbol,txn_dollars
2012-09-04 20:00:00+00:00,50,,2012-09-04 20:00:00+00:00,b6ca208d203b48bca6a0101e179505a7,71.529,Equity(3 [XLE]),Equity(3 [XLE]),-3576.45
2012-09-04 20:00:00+00:00,50,,2012-09-04 20:00:00+00:00,750304c049aa4413823f68ad5d76d418,35.65,Equity(4 [XLB]),Equity(4 [XLB]),-1782.5
2012-11-01 20:00:00+00:00,-50,,2012-11-01 20:00:00+00:00,e12e423cf38548b1b49af7237592dd49,28.87,Equity(1 [XLK]),Equity(1 [XLK]),1443.5
2013-01-02 21:00:00+00:00,-50,,2013-01-02 21:00:00+00:00,1b796a3d9cdf4a7ebde45ca171e8d4f4,34.9,Equity(6 [XLP]),Equity(6 [XLP]),1745.0
2013-02-01 21:00:00+00:00,50,,2013-02-01 21:00:00+00:00,1bd132b9f3604480a032870baf7172fc,29.4,Equity(1 [XLK]),Equity(1 [XLK]),-1470.0
2013-02-01 21:00:00+00:00,50,,2013-02-01 21:00:00+00:00,9dc00ae2a403439fa9c58502084483fd,36.869,Equity(6 [XLP]),Equity(6 [XLP]),-1843.45
2014-02-03 21:00:00+00:00,-50,,2014-02-03 21:00:00+00:00,99d15c7da27e480a8547cc4e9cddcf1a,40.759,Equity(6 [XLP]),Equity(6 [XLP]),2037.95
2014-03-03 21:00:00+00:00,50,,2014-03-03 21:00:00+00:00,29dc5375dd26425f86f2db155dba8f23,42.349,Equity(6 [XLP]),Equity(6 [XLP]),-2117.45
2014-08-01 20:00:00+00:00,-50,,2014-08-01 20:00:00+00:00,9ebad11a0fb7447b8bcb11b6625aca5c,43.139,Equity(6 [XLP]),Equity(6 [XLP]),2156.95
2014-09-02 20:00:00+00:00,50,,2014-09-02 20:00:00+00:00,863640ceda484ee9825856a5cd3d8ecb,45.13,Equity(6 [XLP]),Equity(6 [XLP]),-2256.5
