,SPY,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,information,long_exposure,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio,portfolio_value,positions,returns,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2012-03-01 21:00:00+00:00,,,0.0,,0.00657558266969,,,0.0,10000000.0,0.0,0.0,-0.0203,0.0,,0.0,0.0,0,0.0,0.0,0.0,[],2012-03-01 21:00:00+00:00,2012-03,2012-03-01 14:31:00+00:00,0.0,,10000000.0,[],0.0,,0,0,0,,10000000.0,0.0,0.0,1,[],0.0203
2012-03-02 21:00:00+00:00,,0.0,0.0,0.0,0.00328779133485,0.110475009622,0.0,0.0,10000000.0,0.0,0.0,-0.0199,0.0,-0.237759747211,0.0,0.0,0,0.0,0.0,0.0,[],2012-03-02 21:00:00+00:00,2012-03,2012-03-02 14:31:00+00:00,0.0,,10000000.0,[],0.0,,0,0,0,,10000000.0,0.0,0.0,2,[],0.0199
2012-03-05 21:00:00+00:00,,0.0,0.0,0.0,-0.000876744355955,0.0945172370927,0.0,0.0,10000000.0,0.0,0.0,-0.02,0.0,0.0471176504078,0.0,0.0,0,0.0,0.0,0.0,[],2012-03-05 21:00:00+00:00,2012-03,2012-03-05 14:31:00+00:00,0.0,,10000000.0,[],0.0,,0,0,0,,10000000.0,0.0,0.0,3,[],0.02
2012-03-06 21:00:00+00:00,,0.0,0.0,0.0,-0.0160736465259,0.14141468287,0.0,0.0,10000000.0,0.0,0.0,-0.0196,0.0,0.450475372528,0.0,0.0,0,0.0,0.0,0.0,[],2012-03-06 21:00:00+00:00,2012-03,2012-03-06 14:31:00+00:00,0.0,,10000000.0,[],0.0,,0,0,0,,10000000.0,0.0,0.0,4,[],0.0196
2012-03-07 21:00:00+00:00,,0.0,0.0,0.0,-0.00862131950029,0.147530526247,0.0,0.0,10000000.0,0.0,0.0,-0.0198,0.0,0.182444539757,0.0,0.0,0,0.0,0.0,0.0,[],2012-03-07 21:00:00+00:00,2012-03,2012-03-07 14:31:00+00:00,0.0,,10000000.0,[],0.0,,0,0,0,,10000000.0,0.0,0.0,5,[],0.0198
2012-03-08 21:00:00+00:00,,0.0,0.0,0.0,0.00109593044491,0.151539130373,0.0,0.0,10000000.0,0.0,0.0,-0.0203,0.0,-0.0231154005014,0.0,0.0,0,0.0,0.0,0.0,[],2012-03-08 21:00:00+00:00,2012-03,2012-03-08 14:31:00+00:00,0.0,,10000000.0,[],0.0,,0,0,0,,10000000.0,0.0,0.0,6,[],0.0203
2012-03-09 21:00:00+00:00,,0.0,0.0,0.0,0.00511434207638,0.14019550357,0.0,0.0,10000000.0,0.0,0.0,-0.0204,0.0,-0.0863465638345,0.0,0.0,0,0.0,0.0,0.0,[],2012-03-09 21:00:00+00:00,2012-03,2012-03-09 14:31:00+00:00,0.0,,10000000.0,[],0.0,,0,0,0,,10000000.0,0.0,0.0,7,[],0.0204
2012-03-12 20:00:00+00:00,,0.0,0.0,0.0,0.00518740410604,0.129853553961,0.0,0.0,10000000.0,0.0,0.0,-0.0204,0.0,-0.0826813356081,0.0,0.0,0,0.0,0.0,0.0,[],2012-03-12 20:00:00+00:00,2012-03,2012-03-12 13:31:00+00:00,0.0,,10000000.0,[],0.0,,0,0,0,,10000000.0,0.0,0.0,8,[],0.0204
2012-03-13 20:00:00+00:00,,0.0,0.0,0.0,0.0233067874625,0.152257635,0.0,0.0,10000000.0,0.0,0.0,-0.0214,0.0,-0.271501531848,0.0,0.0,0,0.0,0.0,0.0,[],2012-03-13 20:00:00+00:00,2012-03,2012-03-13 13:31:00+00:00,0.0,,10000000.0,[],0.0,,0,0,0,,10000000.0,0.0,0.0,9,[],0.0214
2012-03-14 20:00:00+00:00,,0.0,0.0,0.0,0.0222108570175,0.144730487252,0.0,0.0,10000000.0,0.0,0.0,-0.0229,0.0,-0.245312872146,0.0,0.0,0,0.0,0.0,0.0,[],2012-03-14 20:00:00+00:00,2012-03,2012-03-14 13:31:00+00:00,0.0,,10000000.0,[],0.0,,0,0,0,,10000000.0,0.0,0.0,10,[],0.0229
2012-03-15 20:00:00+00:00,,0.0,0.0,0.0,0.0281288814202,0.138352458405,0.0,0.0,10000000.0,0.0,0.0,-0.0229,0.0,-0.293681388873,0.0,0.0,0,0.0,0.0,0.0,[],2012-03-15 20:00:00+00:00,2012-03,2012-03-15 13:31:00+00:00,0.0,,10000000.0,[],0.0,,0,0,0,,10000000.0,0.0,0.0,11,[],0.0229
2012-03-16 20:00:00+00:00,,0.0,0.0,0.0,0.0248410900854,0.134526475645,0.0,0.0,10000000.0,0.0,0.0,-0.0231,0.0,-0.245418129555,0.0,0.0,0,0.0,0.0,0.0,[],2012-03-16 20:00:00+00:00,2012-03,2012-03-16 13:31:00+00:00,0.0,,10000000.0,[],0.0,,0,0,0,,10000000.0,0.0,0.0,12,[],0.0231
2012-03-19 20:00:00+00:00,,0.0,0.0,0.0,0.0292978738948,0.129186131299,0.0,0.0,10000000.0,0.0,0.0,-0.0239,0.0,-0.277010678925,0.0,0.0,0,0.0,0.0,0.0,[],2012-03-19 20:00:00+00:00,2012-03,2012-03-19 13:31:00+00:00,0.0,,10000000.0,[],0.0,,0,0,0,,10000000.0,0.0,0.0,13,[],0.0239
2012-03-20 20:00:00+00:00,,0.0,0.0,0.0,0.0258639585007,0.126363935913,0.0,0.0,10000000.0,0.0,0.0,-0.0238,0.0,-0.233032748727,0.0,0.0,0,0.0,0.0,0.0,[],2012-03-20 20:00:00+00:00,2012-03,2012-03-20 13:31:00+00:00,0.0,,10000000.0,[],0.0,,0,0,0,,10000000.0,0.0,0.0,14,[],0.0238
