,SPY,algo_volatility,algorithm_period_return,alpha,benchmark_period_return,benchmark_volatility,beta,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,information,long_exposure,long_value,longs_count,max_drawdown,max_leverage,net_leverage,orders,period_close,period_label,period_open,pnl,portfolio,portfolio_value,positions,returns,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2009-09-01 20:00:00+00:00,,,0.0,,-0.0220573882491,,,0.0,10000.0,0.0,0.0,-0.0338,0.0,,0.0,0.0,0,0.0,0.0,0.0,[],2009-09-01 20:00:00+00:00,2009-09,2009-09-01 13:31:00+00:00,0.0,,10000.0,[],0.0,,0,0,0,,10000.0,0.0,0.0,1,[],0.0338
2009-09-02 20:00:00+00:00,,0.0,0.0,0.0,-0.025766152645,0.205023814326,0.0,0.0,10000.0,0.0,0.0,-0.0329,0.0,1.0007444966,0.0,0.0,0,0.0,0.0,0.0,[],2009-09-02 20:00:00+00:00,2009-09,2009-09-02 13:31:00+00:00,0.0,,10000.0,[],0.0,,0,0,0,,10000.0,0.0,0.0,2,[],0.0329
2009-09-03 20:00:00+00:00,,0.0,0.0,0.0,-0.0176654304119,0.242718915461,0.0,0.0,10000.0,0.0,0.0,-0.0333,0.0,0.382276070356,0.0,0.0,0,0.0,0.0,0.0,[],2009-09-03 20:00:00+00:00,2009-09,2009-09-03 13:31:00+00:00,0.0,,10000.0,[],0.0,,0,0,0,,10000.0,0.0,0.0,3,[],0.0333
2009-09-04 20:00:00+00:00,,0.0,0.0,0.0,-0.00390396252198,0.253195818362,0.0,0.0,10000.0,0.0,0.0,-0.0345,0.0,0.0552653692439,0.0,0.0,0,0.0,0.0,0.0,[],2009-09-04 20:00:00+00:00,2009-09,2009-09-04 13:31:00+00:00,0.0,,10000.0,[],0.0,,0,0,0,,10000.0,0.0,0.0,4,[],0.0345
2009-09-08 20:00:00+00:00,,0.0,0.0,0.0,0.00468475502633,0.229419663207,0.0,0.0,10000.0,0.0,0.0,-0.0347,0.0,-0.0705294223217,0.0,0.0,0,0.0,0.0,0.0,[],2009-09-08 20:00:00+00:00,2009-09,2009-09-08 13:31:00+00:00,0.0,,10000.0,[],0.0,,0,0,0,,10000.0,0.0,0.0,5,[],0.0347
2009-09-09 20:00:00+00:00,,0.0,0.0,0.0,0.0123950810072,0.209682825554,0.0,0.0,10000.0,0.0,0.0,-0.0348,0.0,-0.161141064915,0.0,0.0,0,0.0,0.0,0.0,[],2009-09-09 20:00:00+00:00,2009-09,2009-09-09 13:31:00+00:00,0.0,,10000.0,[],0.0,,0,0,0,,10000.0,0.0,0.0,6,[],0.0348
2009-09-10 20:00:00+00:00,,0.0,0.0,0.0,0.0227405816904,0.19747256694,0.0,0.0,10000.0,0.0,0.0,-0.0336,0.0,-0.264015042432,0.0,0.0,0,0.0,0.0,0.0,[],2009-09-10 20:00:00+00:00,2009-09,2009-09-10 13:31:00+00:00,0.0,,10000.0,[],0.0,,0,0,0,,10000.0,0.0,0.0,7,[],0.0336
2009-09-11 20:00:00+00:00,,0.0,0.0,0.0,0.0225453835643,0.183861483903,0.0,0.0,10000.0,0.0,0.0,-0.0334,0.0,-0.246055015141,0.0,0.0,0,0.0,0.0,0.0,[],2009-09-11 20:00:00+00:00,2009-09,2009-09-11 13:31:00+00:00,0.0,,10000.0,[],0.0,,0,0,0,,10000.0,0.0,0.0,8,[],0.0334
2009-09-14 20:00:00+00:00,,0.0,0.0,0.0,0.0275229357797,0.172317828854,0.0,0.0,10000.0,0.0,0.0,-0.0342,0.0,-0.283193976798,0.0,0.0,0,0.0,0.0,0.0,[],2009-09-14 20:00:00+00:00,2009-09,2009-09-14 13:31:00+00:00,0.0,,10000.0,[],0.0,,0,0,0,,10000.0,0.0,0.0,9,[],0.0342
2009-09-15 20:00:00+00:00,,0.0,0.0,0.0,0.0318172945539,0.162557522081,0.0,0.0,10000.0,0.0,0.0,-0.0347,0.0,-0.310990941714,0.0,0.0,0,0.0,0.0,0.0,[],2009-09-15 20:00:00+00:00,2009-09,2009-09-15 13:31:00+00:00,0.0,,10000.0,[],0.0,,0,0,0,,10000.0,0.0,0.0,10,[],0.0347
