,amount,commission,dt,order_id,price,sid,symbol,txn_dollars
2012-09-04 20:00:00+00:00,50,,2012-09-04 20:00:00+00:00,68eb1c7595f44d668a37fe1c40180249,71.529,Equity(3 [XLE]),Equity(3 [XLE]),-3576.45
2012-09-04 20:00:00+00:00,50,,2012-09-04 20:00:00+00:00,8865edee29bf4bbba48062e328c89f2c,35.65,Equity(4 [XLB]),Equity(4 [XLB]),-1782.5
2012-11-01 20:00:00+00:00,-50,,2012-11-01 20:00:00+00:00,7cc135f490a545bab9c62fabff2e5825,28.87,Equity(1 [XLK]),Equity(1 [XLK]),1443.5
2013-01-02 21:00:00+00:00,-50,,2013-01-02 21:00:00+00:00,c80980bd976e4c60b89aadb759917187,34.9,Equity(6 [XLP]),Equity(6 [XLP]),1745.0
2013-02-01 21:00:00+00:00,50,,2013-02-01 21:00:00+00:00,cb2ff4421f104d81a8ac306bce7837bd,29.4,Equity(1 [XLK]),Equity(1 [XLK]),-1470.0
2013-02-01 21:00:00+00:00,50,,2013-02-01 21:00:00+00:00,8cf0827116a24da28d03a6b79a044026,36.869,Equity(6 [XLP]),Equity(6 [XLP]),-1843.45
2014-02-03 21:00:00+00:00,-50,,2014-02-03 21:00:00+00:00,1024e4be88304a099e02afe2f5b3e636,40.759,Equity(6 [XLP]),Equity(6 [XLP]),2037.95
2014-03-03 21:00:00+00:00,50,,2014-03-03 21:00:00+00:00,abf1e7ad0e8849589c50dafbce8cdcce,42.349,Equity(6 [XLP]),Equity(6 [XLP]),-2117.45
2014-08-01 20:00:00+00:00,-50,,2014-08-01 20:00:00+00:00,826199e004894c99af6b183bd89984b5,43.139,Equity(6 [XLP]),Equity(6 [XLP]),2156.95
2014-09-02 20:00:00+00:00,50,,2014-09-02 20:00:00+00:00,48e7eaf9dae448629a4b545159c03897,45.13,Equity(6 [XLP]),Equity(6 [XLP]),-2256.5
2014-10-01 20:00:00+00:00,-50,,2014-10-01 20:00:00+00:00,27b32bc937014de9a2a14b6bf05b2f56,90.62,Equity(3 [XLE]),Equity(3 [XLE]),4531.0
2015-01-02 21:00:00+00:00,-50,,2015-01-02 21:00:00+00:00,ad8f855ea9214054bc49c755263ec89f,48.58,Equity(4 [XLB]),Equity(4 [XLB]),2429.0
2015-02-02 21:00:00+00:00,-50,,2015-02-02 21:00:00+00:00,10e78c66006d4c7cbe1d20e95eb66327,23.009,Equity(2 [XLF]),Equity(2 [XLF]),1150.45
2015-03-02 21:00:00+00:00,50,,2015-03-02 21:00:00+00:00,8954cf3ff4f24a1cba9ccfec9cbd3aae,24.349,Equity(2 [XLF]),Equity(2 [XLF]),-1217.45
2015-03-02 21:00:00+00:00,50,,2015-03-02 21:00:00+00:00,2bfcc4eb1cdf45e79996cec8f88715a5,51.49,Equity(4 [XLB]),Equity(4 [XLB]),-2574.5
2015-04-01 20:00:00+00:00,-50,,2015-04-01 20:00:00+00:00,fddc83c303f640f792da5e1bd6f53f02,48.779,Equity(4 [XLB]),Equity(4 [XLB]),2438.95
2015-05-01 20:00:00+00:00,50,,2015-05-01 20:00:00+00:00,68514c05d4464bbaad134cd2a19e5be0,50.419,Equity(4 [XLB]),Equity(4 [XLB]),-2520.95
2015-07-01 20:00:00+00:00,-50,,2015-07-01 20:00:00+00:00,8cf9da35616245ab8a4c8e52d8ad47a3,41.4,Equity(1 [XLK]),Equity(1 [XLK]),2070.0
2015-07-01 20:00:00+00:00,-50,,2015-07-01 20:00:00+00:00,d5bc11ce9cb34937b585c13c156b0cc1,48.389,Equity(4 [XLB]),Equity(4 [XLB]),2419.45
2015-07-01 20:00:00+00:00,-50,,2015-07-01 20:00:00+00:00,eb5ee76fcc9d4ab2b6f27235001e8364,47.599,Equity(6 [XLP]),Equity(6 [XLP]),2379.95
2015-08-03 20:00:00+00:00,50,,2015-08-03 20:00:00+00:00,4875ca09f3e846ac8db5e39241df9b8c,42.58,Equity(1 [XLK]),Equity(1 [XLK]),-2129.0
2015-08-03 20:00:00+00:00,50,,2015-08-03 20:00:00+00:00,ccf640a0ab6e4ff9ba09beef43e19a59,50.31,Equity(6 [XLP]),Equity(6 [XLP]),-2515.5
2015-09-01 20:00:00+00:00,-50,,2015-09-01 20:00:00+00:00,3a81fa35afde4ef28c8fde81a90c2a85,40.23,Equity(1 [XLK]),Equity(1 [XLK]),2011.5
2015-09-01 20:00:00+00:00,-50,,2015-09-01 20:00:00+00:00,f8280e28333d4692a1275480b4526a30,23.429,Equity(2 [XLF]),Equity(2 [XLF]),1171.45
2015-09-01 20:00:00+00:00,-50,,2015-09-01 20:00:00+00:00,5fff0f3eb50a45ffabcceeb7c0db15f8,47.31,Equity(6 [XLP]),Equity(6 [XLP]),2365.5
2015-10-01 20:00:00+00:00,-50,,2015-10-01 20:00:00+00:00,22dd51897a1b4804b6525ba587006246,74.26,Equity(5 [XLY]),Equity(5 [XLY]),3713.0
2015-11-02 21:00:00+00:00,50,,2015-11-02 21:00:00+00:00,b4924502d5244111adb6b5db548f3ced,43.65,Equity(1 [XLK]),Equity(1 [XLK]),-2182.5
2015-11-02 21:00:00+00:00,50,,2015-11-02 21:00:00+00:00,788b36c4f4c144d18f2df547d6adc448,24.08,Equity(2 [XLF]),Equity(2 [XLF]),-1204.0
2015-11-02 21:00:00+00:00,50,,2015-11-02 21:00:00+00:00,9aa08400f4fb4dd8bb5ce9bcc0c74a12,80.97,Equity(5 [XLY]),Equity(5 [XLY]),-4048.5
2015-11-02 21:00:00+00:00,50,,2015-11-02 21:00:00+00:00,f8f22f9b463f4b2d9cf163155641ce44,49.88,Equity(6 [XLP]),Equity(6 [XLP]),-2494.0
2016-01-04 21:00:00+00:00,-50,,2016-01-04 21:00:00+00:00,abf8d33f73774310b743681970629555,23.83,Equity(2 [XLF]),Equity(2 [XLF]),1191.5
2016-02-01 21:00:00+00:00,-50,,2016-02-01 21:00:00+00:00,310214ecb131451fb997d5d437f2d1b3,41.24,Equity(1 [XLK]),Equity(1 [XLK]),2062.0
2016-02-01 21:00:00+00:00,-50,,2016-02-01 21:00:00+00:00,c47ae7d5ccdb48e0bd5dddcda1b08407,74.11,Equity(5 [XLY]),Equity(5 [XLY]),3705.5
2016-04-01 20:00:00+00:00,50,,2016-04-01 20:00:00+00:00,2da2606126e14281bc21266ccddd5a9b,44.36,Equity(1 [XLK]),Equity(1 [XLK]),-2218.0
2016-04-01 20:00:00+00:00,50,,2016-04-01 20:00:00+00:00,d33d8255ac934687a318777818f70e4c,44.81,Equity(4 [XLB]),Equity(4 [XLB]),-2240.5
2016-04-01 20:00:00+00:00,50,,2016-04-01 20:00:00+00:00,885c1a86971d4c17b242cb07e8154340,79.099,Equity(5 [XLY]),Equity(5 [XLY]),-3954.95
2016-05-02 20:00:00+00:00,-50,,2016-05-02 20:00:00+00:00,6972be5cd9504929926d103f09c854af,42.13,Equity(1 [XLK]),Equity(1 [XLK]),2106.5
2016-05-02 20:00:00+00:00,50,,2016-05-02 20:00:00+00:00,d768e22e54c7420fa6c5c4676bfe77ad,23.309,Equity(2 [XLF]),Equity(2 [XLF]),-1165.45
2016-05-02 20:00:00+00:00,50,,2016-05-02 20:00:00+00:00,80ccb2d042d64d0eb258f2c86402d61d,67.5,Equity(3 [XLE]),Equity(3 [XLE]),-3375.0
2016-06-01 20:00:00+00:00,50,,2016-06-01 20:00:00+00:00,f58d9da8f82b45a4b56e46194d89278f,44.189,Equity(1 [XLK]),Equity(1 [XLK]),-2209.45
2016-07-01 20:00:00+00:00,-50,,2016-07-01 20:00:00+00:00,644d944ef4184eb38cea55c802d037bf,22.86,Equity(2 [XLF]),Equity(2 [XLF]),1143.0
2016-08-01 20:00:00+00:00,50,,2016-08-01 20:00:00+00:00,60468a4ee1744f8cb689fd09363ba9a8,23.65,Equity(2 [XLF]),Equity(2 [XLF]),-1182.5
2016-10-03 20:00:00+00:00,-50,,2016-10-03 20:00:00+00:00,2bba97bb83974e8ebde8ff125f7232aa,19.299,Equity(2 [XLF]),Equity(2 [XLF]),964.95
2016-11-01 20:00:00+00:00,-50,,2016-11-01 20:00:00+00:00,b5ae56f4fc48442aa06f8f775674811d,78.099,Equity(5 [XLY]),Equity(5 [XLY]),3904.95
2016-11-01 20:00:00+00:00,-50,,2016-11-01 20:00:00+00:00,83bc90a4bb67424e9cd97972f62524b2,52.799,Equity(6 [XLP]),Equity(6 [XLP]),2639.95
2016-12-01 21:00:00+00:00,50,,2016-12-01 21:00:00+00:00,7f5a8c3d38f44db7907a50ac08645d4b,22.51,Equity(2 [XLF]),Equity(2 [XLF]),-1125.5
2016-12-01 21:00:00+00:00,50,,2016-12-01 21:00:00+00:00,73bf5a2091d1418bba9ee2109e7d0613,81.849,Equity(5 [XLY]),Equity(5 [XLY]),-4092.45
2017-03-01 21:00:00+00:00,50,,2017-03-01 21:00:00+00:00,4c4169edfdee440ca23416e6a399a071,55.099,Equity(6 [XLP]),Equity(6 [XLP]),-2754.95
2017-04-03 20:00:00+00:00,-50,,2017-04-03 20:00:00+00:00,58bd4f8be2074bc8bd6b20c672515906,69.9,Equity(3 [XLE]),Equity(3 [XLE]),3495.0
